Dataset_ID,Method,Overall_Accuracy,Macro_F1,GMean,Macro_F1_Small_Parcels,Macro_F1_Large_Parcels,Macro_F1_Difference
3,FL,0.6853589684901198,0.5983311036393167,0.6182412563481694,0.4238930405215701,0.6137790099778123,-0.1898859694562422
3,DOWCE,0.7038223849851225,0.6133877332418146,0.6230276684447065,0.4296090274738941,0.6280280266694679,-0.1984189991955737
3,RO-FL,0.7279316395819028,0.6438036039479843,0.6622728669671778,0.4547856186686831,0.6577256292728336,-0.2029400106041505
3,RO-DOWCE,0.7390707255664912,0.6528878699132324,0.6599880034393011,0.44867424055138,0.6753644120765347,-0.2266901715251547
3,RO-R,0.7149614709697109,0.6259203951628171,0.6303560482771213,0.4463926242903579,0.6356176523121247,-0.1892250280217668
4,baseline,0.7357498916341569,0.6694330362823403,0.651591624000525,0.5406070493983103,0.6763633332820607,-0.1357562838837503
4,RO,0.7812093628088427,0.7256843762773556,0.721640821040964,0.595397018455311,0.735631447904115,-0.140234429448804
4,WCE,0.7492956220199393,0.7005447689356761,0.7044741662857048,0.5852227582531765,0.7047764550506787,-0.1195536967975021
4,FL,0.7799631556133507,0.7227646449328627,0.7074272931161636,0.6170594324710567,0.7252773880406764,-0.1082179555696197
4,DOWCE,0.7916666666666666,0.7343083269897999,0.7152931955946636,0.6191491220090367,0.738091155003629,-0.1189420329945922
4,RO-FL,0.7661465106198526,0.7124658453203919,0.7166121966187683,0.6038005453143173,0.7180396776882602,-0.1142391323739429
4,RO-DOWCE,0.7871694841785869,0.7356219637996133,0.7405559428705653,0.6185260049500935,0.7432182398671995,-0.124692234917106
4,RO-R,0.7665799739921977,0.7157661442167832,0.7199138146817452,0.6156336582271822,0.71935381286577,-0.1037201546385878
5,baseline,0.7880357983984927,0.7021540738403359,0.6372082482029274,0.5735429427230214,0.712629817113602,-0.1390868743905805
5,RO,0.8386455225833465,0.7737063042629397,0.8110643780357376,0.6597259745428128,0.7816210792923723,-0.1218951047495595
5,WCE,0.7949965981054063,0.7267983430463558,0.7493078793147065,0.6040814368257739,0.7353212452476274,-0.1312398084218535
5,FL,0.8248809336892239,0.7575320250612503,0.7767223429345143,0.6333736105161324,0.7632695249573447,-0.1298959144412123
5,DOWCE,0.757261736536348,0.696703279274856,0.7376093526585494,0.5847203282060883,0.6976971935778551,-0.1129768653717667
5,RO-FL,0.8184435023813262,0.7532075908032384,0.7959017714064378,0.6353677055781746,0.760440768677273,-0.1250730630990983
5,RO-DOWCE,0.8330454807138745,0.7648826357072805,0.794281574285986,0.6544371337308983,0.7728140408702258,-0.1183769071393274
5,RO-R,0.8212696917360129,0.757642388401014,0.8077831388881834,0.6553805090485245,0.7606850557248885,-0.105304546676364
6,baseline,0.6473967521599493,0.5557070989674251,0.3636723227321736,0.3732172353267249,0.5887236905999533,-0.2155064552732284
6,RO,0.7002759307006831,0.6453096914581443,0.6531024730050363,0.4654054971569654,0.6758850483468661,-0.2104795511899007
6,WCE,0.6843986067761343,0.6243925978173858,0.6041742048638169,0.4397769135894215,0.6518523619689932,-0.2120754483795716
6,FL,0.6500655900845886,0.582958459701038,0.5380954136666344,0.394515597334302,0.6106014408471021,-0.2160858435128
6,DOWCE,0.6730447369611435,0.618269646768933,0.5952550267487444,0.4471244276885984,0.6408648976147358,-0.1937404699261373
6,RO-FL,0.6967928710363234,0.6414615468477493,0.645689751108364,0.4688506545735066,0.6687278808671324,-0.1998772262936257
6,RO-DOWCE,0.7074229881937848,0.6575414129008316,0.6719294400587555,0.485875554133679,0.6815356382668789,-0.1956600841331998
6,RO-R,0.6892387026733614,0.6358639400089234,0.6439046274964235,0.4466027805509385,0.6668680838538489,-0.2202653033029103
7,baseline,0.5774485203329749,0.4483581857776103,0.0,0.2742162251238547,0.4833853040026293,-0.2091690788787745
7,RO,0.6644760425379376,0.6128593824585257,0.609298013819469,0.43441402529785,0.6415008826487911,-0.207086857350941
7,WCE,0.6451985502051221,0.5988889375165638,0.5842154390156342,0.42749884386666,0.6195794665248852,-0.1920806226582251
7,FL,0.6694945632692078,0.6120051835495037,0.5777383407785045,0.4475428976280955,0.6374540778434171,-0.1899111802153215
7,DOWCE,0.6194686740749592,0.570267625314122,0.5440389569689386,0.4134790625604272,0.5903195278795509,-0.1768404653191236
7,RO-FL,0.6701716652726332,0.6172739653534453,0.6060185592479517,0.4532428317940356,0.6421775622725342,-0.1889347304784985
7,RO-DOWCE,0.677181662484566,0.627739620729556,0.6253023170172382,0.46816651293813,0.6499094925447055,-0.1817429796065755
7,RO-R,0.6802883657944,0.6255504328215443,0.6162320609240173,0.4471453835478169,0.6579485027778769,-0.2108031192300599
8,baseline,0.5517842530330522,0.4712495267197367,0.1590470694758536,0.3306052894702924,0.4899920361118997,-0.1593867466416073
8,RO,0.5864375422492617,0.549241279712081,0.5420978538358336,0.3935176733566481,0.5692863710526825,-0.1757686976960344
8,WCE,0.537268296153983,0.5031527138134818,0.5016265958360381,0.3508553668537479,0.5221876777740936,-0.1713323109203456
8,FL,0.5326431138150639,0.5010543013579841,0.4830967208644512,0.3595744955210572,0.5188708587249998,-0.1592963632039426
8,DOWCE,0.5617817625502544,0.5250085652276133,0.5109550361748005,0.3852856628136042,0.5381092333539764,-0.1528235705403722
8,RO-FL,0.5982495463763475,0.5643501167558023,0.5536582288571478,0.4099683802520572,0.58271863528474,-0.1727502550326828
8,RO-DOWCE,0.596008111858256,0.5599811926980287,0.5527797960387876,0.3993633860422709,0.5798716740712195,-0.1805082880289485
8,RO-R,0.6100971288291173,0.5813104441686995,0.5748189827827341,0.4223407037183209,0.5997772613189432,-0.1774365576006222
9,baseline,0.5817340148519626,0.4986572520299062,0.2838258369565591,0.3442310279984188,0.5266388777042582,-0.1824078497058393
9,RO,0.6330086475712862,0.5846210876911033,0.5688115669522585,0.4053891096244471,0.6092045265856487,-0.2038154169612016
9,WCE,0.6045906066158743,0.5631130568587319,0.5498089921067051,0.4142882764712912,0.5740459926970347,-0.1597577162257434
9,FL,0.6410454238595814,0.5975352382044853,0.5825960628495713,0.4390037595347249,0.6120813492802439,-0.173077589745519
9,DOWCE,0.6213713955058346,0.577814519490211,0.5643039986825111,0.4239909590699819,0.5930603015441954,-0.1690693424742135
9,RO-FL,0.6185103031472016,0.5690968363397292,0.5481853228152326,0.4017207487807075,0.586195089951535,-0.1844743411708274
9,RO-DOWCE,0.6490179059375704,0.6117935696121579,0.6170240136773594,0.4479796047777024,0.6267788577150576,-0.1787992529373551
9,RO-R,0.6130452952711608,0.5658695400633148,0.5550725507525701,0.3916317953411273,0.588279258208342,-0.1966474628672147
10,baseline,0.5022429413316915,0.4118056261523504,0.1875298170895968,0.2846504816497536,0.4224133224922872,-0.1377628408425335
10,RO,0.607734482657519,0.5714932062105433,0.5559440771022532,0.4044211514827624,0.5907380353513164,-0.186316883868554
10,WCE,0.6081156360864338,0.5723315134424504,0.5607341104509724,0.4023555823980362,0.591177317315668,-0.1888217349176317
10,FL,0.5823144808983494,0.5451086053640365,0.5368670002837674,0.3833019152587542,0.5649380158160626,-0.1816361005573084
10,DOWCE,0.5973553815932213,0.5585127426795453,0.5422701235619436,0.3897612298250188,0.5799386026930737,-0.1901773728680549
10,RO-FL,0.6167062479842847,0.5852543418007528,0.5685583288708894,0.4231093414827619,0.6044807075409846,-0.1813713660582226
10,RO-DOWCE,0.620371184800774,0.5865278992757459,0.5809878652489522,0.4240273712754707,0.6077807201284793,-0.1837533488530085
10,RO-R,0.6137742985310933,0.5777885410751367,0.5694413669748991,0.4034410545579524,0.601849719481592,-0.1984086649236396
