epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fallow,precision_misc.,precision_orchards,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_barley,recall_wheat,recall_fallow,recall_misc.,recall_orchards,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
20,0.7332314956256075,0.678695933596161,0.7332314956256075,0.6149539373103566,0.7559372933480673,0.7332314956256075,0.6708019884747526,0.7332314956256075,0.7332314956256075,0.6439801306468121,0.837497254214519,0.6048823419458971,0.7075471698113207,0.9176800748362957,0.1875,0.5153061224489796,0.12764084507042253,0.8946877912395154,0.5407407407407407,0.9894291754756871,0.9152892561983471,0.75,0.9805097451274363,0.345,0.202,0.7286432160804021,0.48,0.73,0.935064935064935,0.886,0.98551977,0.8259384,443227968,9307787328,222.4948525428772,102025
21,0.6993473128732121,0.6450074388256833,0.6993473128732121,0.6067494478445451,0.7274216039783782,0.6993473128732121,0.6786566292122332,0.6993473128732121,0.6993473128732121,0.6518976266558529,0.8621869288512032,0.6199074283126276,0.6454545454545455,0.9628344895936571,0.13513513513513514,0.512,0.12181528662420382,0.9367816091954023,0.6468085106382979,0.9885535900104059,0.9176954732510288,0.71,0.9710144927536232,0.475,0.256,0.7688442211055276,0.326,0.76,0.949050949050949,0.892,0.97119486,0.8623485,443227968,9751015296,227.88911485671997,102025
22,0.7396194972920428,0.6867021586147308,0.7396194972920428,0.6141519613908837,0.7597949171144014,0.7396194972920428,0.6912674038653298,0.7396194972920428,0.7396194972920428,0.6276668027574673,0.8402939657643299,0.6365469809720805,0.5877862595419847,0.9215871516296646,0.1295215869311552,0.5240384615384616,0.20658135283363802,0.9081537019681349,0.4619718309859155,0.986444212721585,0.9229166666666667,0.77,0.9750124937531235,0.555,0.218,0.5678391959798995,0.4845,0.82,0.945054945054945,0.886,0.9874518,0.82623863,443227968,10194243264,227.01751494407654,102025
23,0.7698930704068879,0.7215965108547093,0.7698930704068879,0.6433743421409566,0.7959708068173436,0.7698930704068879,0.7002560463072619,0.7698930704068879,0.7698930704068879,0.6467230414119655,0.8540909827881928,0.6564634480575486,0.5968992248062015,0.9732728189611699,0.1873198847262248,0.4943502824858757,0.1616052060737527,0.9002284843869002,0.6024590163934426,0.9805527123848515,0.9238197424892703,0.77,0.9645177411294353,0.325,0.35,0.7487437185929648,0.591,0.735,0.957042957042957,0.861,1.0424471,0.76269877,443227968,10637471232,226.80755019187927,102025
24,0.7769754200805443,0.7270999123212645,0.7769754200805443,0.6499119459914864,0.792084660102907,0.7769754200805443,0.6866502262648587,0.7769754200805443,0.7769754200805443,0.648988980063294,0.8307055787173504,0.6569816330672124,0.7368421052631579,0.903211009174312,0.18604651162790697,0.4673913043478261,0.21414913957934992,0.8884057971014493,0.5440613026819924,0.9632936507936508,0.9375,0.7,0.984007996001999,0.4,0.43,0.5628140703517588,0.613,0.71,0.97002997002997,0.81,0.9630148,0.7688812,443227968,11080699200,234.0436463356018,102025
25,0.711845577003194,0.6572825902792188,0.711845577003194,0.6034007036527643,0.7360143490392129,0.711845577003194,0.6812914228945698,0.711845577003194,0.711845577003194,0.6497482546460441,0.8571200497248289,0.596406486873522,0.6446280991735537,0.9396718146718147,0.16393442622950818,0.5942028985507246,0.11798980335032774,0.9292565947242206,0.5544217687074829,0.9806320081549439,0.922996878251821,0.78,0.9730134932533733,0.35,0.164,0.8140703517587939,0.3875,0.815,0.961038961038961,0.887,0.96151376,0.8608861,443227968,11523927168,229.80557298660278,102025
26,0.7589223718927927,0.7085344266064548,0.7589223718927927,0.6255796487029194,0.7819217230083947,0.7589223718927927,0.699878099128199,0.7589223718927927,0.7589223718927927,0.6489590519045281,0.8544457970854366,0.6368799701679496,0.6171875,0.9682619647355164,0.15254237288135594,0.6131386861313869,0.1921768707482993,0.8838421444527178,0.5047619047619047,0.9755351681957186,0.933184855233853,0.79,0.960519740129935,0.63,0.168,0.5678391959798995,0.5935,0.795,0.9560439560439561,0.838,0.94607484,0.8003018,443227968,11967155136,227.9546480178833,102025
27,0.7500347174003611,0.6996627862200231,0.7500347174003611,0.6377339209721357,0.7788790359017065,0.7500347174003611,0.6965602541170335,0.7500347174003611,0.7500347174003611,0.6682617743429157,0.8610136559415731,0.6407533213466639,0.7281553398058253,0.9760935910478128,0.18181818181818182,0.585,0.14107142857142857,0.9023972602739726,0.6104417670682731,0.9824016563146998,0.9069767441860465,0.75,0.9590204897551224,0.4,0.234,0.7939698492462312,0.527,0.76,0.948051948051948,0.897,0.9336535,0.8002882,443227968,12410383104,228.53938341140747,102025
28,0.7644771559505624,0.7138892300762258,0.7644771559505624,0.6282750310833302,0.7900057621008301,0.7644771559505624,0.6800050411582436,0.7644771559505624,0.7644771559505624,0.6362555382597663,0.8462141266237448,0.6378241102891952,0.5128205128205128,0.9452519379844961,0.13442622950819672,0.503448275862069,0.23303834808259588,0.8927789934354485,0.5814977973568282,0.9774358974358974,0.9456018518518519,0.8,0.9750124937531235,0.615,0.292,0.3969849246231156,0.612,0.66,0.952047952047952,0.817,0.9727938,0.7983295,443227968,12853611072,223.07387161254883,102025
29,0.7565615886682405,0.7060288802770829,0.7565615886682406,0.6318416964136261,0.778933767641062,0.7565615886682405,0.7038499333122787,0.7565615886682405,0.7565615886682405,0.637807809817355,0.8463152918928267,0.6561808413673503,0.5763888888888888,0.9465760077707625,0.13636363636363635,0.5336134453781513,0.19838709677419356,0.8959537572254336,0.5460750853242321,0.9855521155830753,0.9213602550478215,0.83,0.9740129935032483,0.495,0.254,0.6180904522613065,0.5425,0.8,0.954045954045954,0.867,0.97468454,0.7916836,443227968,13296839040,226.73449325561523,102025
30,0.7350368004443827,0.6836095592942444,0.7350368004443827,0.6258082268224093,0.7622742122363729,0.7350368004443827,0.706476253793801,0.7350368004443827,0.7350368004443827,0.6454110660449026,0.8576869839947331,0.6558834130592158,0.6165413533834586,0.965,0.14977307110438728,0.5446808510638298,0.15305067218200621,0.9171717171717172,0.5587188612099644,0.9824380165289256,0.9213250517598344,0.82,0.9645177411294353,0.495,0.256,0.7437185929648241,0.454,0.785,0.9500499500499501,0.89,0.96622574,0.8121822,443227968,13740067008,229.0346291065216,102025
