,mean,std,min,25%,50%,75%,max,Highest GMean Epoch
recall_class_3,0.5176650706082372,0.09098264902970861,0.0579612088407758,0.47547361299052776,0.5274018944519621,0.5785408209291836,0.6783942264321154,0.5221019395579612
recall_class_4,0.4717992506454046,0.1264740785910906,0.0,0.3915206415206415,0.4795069795069795,0.5551678051678052,0.7223047223047223,0.3861003861003861
recall_class_5,0.47841501466713987,0.07343860711838134,0.2829730386203546,0.4294389118290017,0.4849404906485305,0.5389239737673063,0.6205975224678164,0.5448141850862278
recall_class_6,0.15481612685560048,0.08937006978816739,0.0,0.0871710526315789,0.15241228070175436,0.2132675438596491,0.4495614035087719,0.2280701754385964
recall_class_7,0.6089911046807597,0.12791032375287098,0.0414489724834552,0.5741466388018112,0.6385405781957506,0.6933995123650296,0.7615813305468477,0.7204806687565308
recall_class_8,0.502282395857147,0.1363923524195718,0.1970538829306111,0.4159667485032519,0.5279321187061206,0.599183787741741,0.7661196537020287,0.5262523151139251
recall_class_9,0.4054265626846272,0.11017930644859225,0.0,0.3621351766513056,0.4116743471582181,0.4873271889400922,0.6144393241167435,0.4792626728110599
recall_class_10,0.9652050168261758,0.08335660878881125,0.125659323611542,0.97192057089668,0.9748681352776916,0.976419484951908,0.981073533974558,0.979211914365498
recall_class_11,0.21707400013646264,0.07902586464550712,0.07124667372457,0.17085610460957393,0.19651492174311141,0.25766116340953954,0.4559214855932931,0.3636155540931071
recall_class_12,0.6421179222384042,0.0853476638518865,0.3732071141709696,0.595166379804934,0.6450086058519794,0.7043889845094664,0.8032128514056225,0.7587492828456683
trainloss,0.9596092386538461,0.25684695070760777,0.7329874,0.854060725,0.90303025,0.9628485849999999,2.8659418,0.85779965
testloss,1.1710625000000006,0.13655914778603143,1.0290507,1.09467725,1.15021695,1.1993958,2.1479928,1.0803238
FLOPs_per_epoch,576758016.0,0.0,576758016.0,576758016.0,576758016.0,576758016.0,576758016.0,576758016.0
cumulative_FLOPs,30279795840.0,17398601271.60897,576758016.0,15428276928.0,30279795840.0,45131314752.0,59982833664.0,49024431360.0
runtime_per_epoch,537.901196619639,23.26847987797545,498.83708572387695,520.2681157588959,533.8354659080505,552.2597815990448,599.0636043548584,538.6058025360107
Params,102285.0,0.0,102285.0,102285.0,102285.0,102285.0,102285.0,102285.0
